"Granule Name","Platform","Sensor","Beam Mode","Beam Mode Description","Orbit","Path Number","Frame Number","Acquisition Date","Processing Date","Processing Level","Start Time","End Time","Center Lat","Center Lon","Near Start Lat","Near Start Lon","Far Start Lat","Far Start Lon","Near End Lat","Near End Lon","Far End Lat","Far End Lon","Faraday Rotation","Ascending or Descending?","URL","Size (MB)","Off Nadir Angle","Stack Size","Doppler","GroupID","Pointing Angle","TemporalBaseline","PerpendicularBaseline","relativeBurstID","absoluteBurstID","fullBurstID","burstIndex","burstAnxTime","timeFromAnxSeconds","samplesPerBurst","subswath"
"S1A_IW_SLC__1SDV_20230114T173625_20230114T173652_046783_059BDC_8B88","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46783","161","201","2023-01-14T17:36:52.000000","2023-01-14T17:36:25.000000","SLC","2023-01-14T17:36:25.000000","2023-01-14T17:36:52.000000","62.3313","0.047","61.287315","-2.013048","61.730495","2.810129","62.881783","-2.821959","63.33643","2.26432","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T173625_20230114T173652_046783_059BDC_8B88.zip","3925.419487953186","","","0","S1A_IWDV_0201_0206_046783_161","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T173600_20230114T173627_046783_059BDC_2DEE","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46783","161","196","2023-01-14T17:36:27.000000","2023-01-14T17:36:00.000000","SLC","2023-01-14T17:36:00.000000","2023-01-14T17:36:27.000000","60.8558","0.6517","59.816647","-1.323343","60.250988","3.282585","61.413857","-2.074789","61.857872","2.768165","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T173600_20230114T173627_046783_059BDC_2DEE.zip","3944.1636924743652","","","0","S1A_IWDV_0196_0201_046783_161","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T173535_20230114T173602_046783_059BDC_18C4","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46783","161","191","2023-01-14T17:36:02.000000","2023-01-14T17:35:35.000000","SLC","2023-01-14T17:35:35.000000","2023-01-14T17:36:02.000000","59.3781","1.2184","58.342216","-0.678183","58.769115","3.730994","59.943535","-1.380931","60.378578","3.242871","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T173535_20230114T173602_046783_059BDC_18C4.zip","4042.512553215027","","","0","S1A_IWDV_0191_0197_046783_161","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T062118_20230114T062145_046776_059B9B_CA5B","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","394","2023-01-14T06:21:45.000000","2023-01-14T06:21:18.000000","SLC","2023-01-14T06:21:18.000000","2023-01-14T06:21:45.000000","59.3962","0.1269","59.960281","2.740266","60.397648","-1.911674","58.358826","2.036478","58.787994","-2.399377","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062118_20230114T062145_046776_059B9B_CA5B.zip","3777.6770009994507","","","0","S1A_IWDV_0394_0399_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230114T062053_20230114T062120_046776_059B9B_7484","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46776","154","389","2023-01-14T06:21:20.000000","2023-01-14T06:20:53.000000","SLC","2023-01-14T06:20:53.000000","2023-01-14T06:21:20.000000","60.8733","0.6937","61.430622","3.435163","61.877018","-1.437417","59.832062","2.681991","60.268715","-1.951766","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230114T062053_20230114T062120_046776_059B9B_7484.zip","3751.9043292999268","","","0","S1A_IWDV_0388_0395_046776_154","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175234_20230112T175301_046754_059AE5_4334","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","197","2023-01-12T17:53:01.000000","2023-01-12T17:52:34.000000","SLC","2023-01-12T17:52:34.000000","2023-01-12T17:53:01.000000","61.2812","-3.6164","60.239159","-5.598554","60.67239","-0.964216","61.842697","-6.367399","62.286034","-1.489481","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175234_20230112T175301_046754_059AE5_4334.zip","3731.460741043091","","","0","S1A_IWDV_0197_0203_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T175210_20230112T175237_046754_059AE5_4A45","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46754","132","193","2023-01-12T17:52:37.000000","2023-01-12T17:52:10.000000","SLC","2023-01-12T17:52:10.000000","2023-01-12T17:52:37.000000","59.8046","-3.0402","58.766796","-4.943033","59.192291","-0.509559","60.372948","-5.660274","60.806946","-1.006703","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T175210_20230112T175237_046754_059AE5_4A45.zip","3805.093454360962","","","0","S1A_IWDV_0192_0198_046754_132","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T063741_20230112T063808_046747_059AAA_35ED","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46747","125","393","2023-01-12T06:38:08.000000","2023-01-12T06:37:41.000000","SLC","2023-01-12T06:37:41.000000","2023-01-12T06:38:08.000000","59.6312","-3.8888","60.194603","-1.261418","60.632599","-5.935574","58.593929","-1.97266","59.023495","-6.427901","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T063741_20230112T063808_046747_059AAA_35ED.zip","3423.750690460205","","","0","S1A_IWDV_0393_0398_046747_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230112T063716_20230112T063743_046747_059AAA_9853","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46747","125","388","2023-01-12T06:37:43.000000","2023-01-12T06:37:16.000000","SLC","2023-01-12T06:37:16.000000","2023-01-12T06:37:43.000000","61.1084","-3.3158","61.664509","-0.558364","62.111797","-5.456365","60.067394","-1.319901","60.504669","-5.975883","","DESCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230112T063716_20230112T063743_046747_059AAA_9853.zip","3431.171977996826","","","0","S1A_IWDV_0388_0394_046747_125","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174432_20230107T174459_046681_059865_D89A","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","200","2023-01-07T17:44:59.000000","2023-01-07T17:44:32.000000","SLC","2023-01-07T17:44:32.000000","2023-01-07T17:44:59.000000","61.9166","-1.8249","60.847157","-3.838217","61.285347","0.898591","62.49865","-4.656767","62.948082","0.34339","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174432_20230107T174459_046681_059865_D89A.zip","3590.2050409317017","","","0","S1A_IWDV_0199_0206_046681_059","","","","","","","","","","",""
"S1A_IW_SLC__1SDV_20230107T174407_20230107T174434_046681_059865_3D85","Sentinel-1A","C-SAR","IW","Interferometric Wide. 250 km swath, 5 m x 20 m spatial resolution and burst synchronization for interferometry. IW is considered to be the standard mode over land masses.","46681","59","195","2023-01-07T17:44:34.000000","2023-01-07T17:44:07.000000","SLC","2023-01-07T17:44:07.000000","2023-01-07T17:44:34.000000","60.4159","-1.2228","59.375671","-3.16372","59.805523","1.363176","60.980835","-3.901915","61.419857","0.855058","","ASCENDING","https://datapool.asf.alaska.edu/SLC/SA/S1A_IW_SLC__1SDV_20230107T174407_20230107T174434_046681_059865_3D85.zip","3554.8688020706177","","","0","S1A_IWDV_0194_0201_046681_059","","","","","","","","","","",""
